SuburbName,ZipCodeNumber,StateCode
AUSTRALIAN NATIONAL UNIVERSITY,200,ACT
BARTON,221,ACT
DARWIN,801,NT
WAGAIT BEACH,803,NT
ALAWA,810,NT
BRINKIN,810,NT
CASUARINA,810,NT
COCONUT GROVE,810,NT
JINGILI,810,NT
LEE POINT,810,NT
LYONS,810,NT
MILLNER,810,NT
MOIL,810,NT
MUIRHEAD,810,NT
NAKARA,810,NT
NIGHTCLIFF,810,NT
RAPID CREEK,810,NT
TIWI,810,NT
WAGAMAN,810,NT
WANGURI,810,NT
CASUARINA,811,NT
ANULA,812,NT
BUFFALO CREEK,812,NT
HOLMES,812,NT
KARAMA,812,NT
LEANYER,812,NT
MALAK,812,NT
MARRARA,812,NT
WULAGI,812,NT
KARAMA,813,NT
NIGHTCLIFF,814,NT
CHARLES DARWIN UNIVERSITY,815,NT
BAYVIEW,820,NT
CHARLES DARWIN,820,NT
COONAWARRA,820,NT
DARWIN DC,820,NT
DARWIN INTERNATIONAL AIRPORT,820,NT
EAST POINT,820,NT
EATON,820,NT
FANNIE BAY,820,NT
LARRAKEYAH,820,NT
LUDMILLA,820,NT
PARAP,820,NT
STUART PARK,820,NT
THE GARDENS,820,NT
THE NARROWS,820,NT
WINNELLIE,820,NT
WOOLNER,820,NT
WINNELLIE,821,NT
ACACIA HILLS,822,NT
ANGURUGU,822,NT
ANINDILYAKWA,822,NT
ANNIE RIVER,822,NT
BATHURST ISLAND,822,NT
BEES CREEK,822,NT
BELYUEN,822,NT
BLACK JUNGLE,822,NT
BLACKMORE,822,NT
BURRUNDIE,822,NT
BYNOE,822,NT
BYNOE HARBOUR,822,NT
CAMP CREEK,822,NT
CHANNEL ISLAND,822,NT
CHARLES DARWIN,822,NT
CHARLOTTE,822,NT
CLARAVALE,822,NT
COBOURG,822,NT
COLLETT CREEK,822,NT
COOMALIE CREEK,822,NT
COX PENINSULA,822,NT
DALY,822,NT
DALY RIVER,822,NT
DARWIN RIVER DAM,822,NT
DELISSAVILLE,822,NT
DOUGLAS-DALY,822,NT
EAST ARM,822,NT
EAST ARNHEM,822,NT
ELRUNDIE,822,NT
EVA VALLEY,822,NT
FINNISS VALLEY,822,NT
FLEMING,822,NT
FLY CREEK,822,NT
FREDS PASS,822,NT
GALIWINKU,822,NT
GLYDE POINT,822,NT
GOULBURN ISLAND,822,NT
GUNBALANYA,822,NT
GUNN POINT,822,NT
HAYES CREEK,822,NT
HIDDEN VALLEY,822,NT
HOTHAM,822,NT
HUGHES,822,NT
KAKADU,822,NT
KOOLPINYAH,822,NT
LAKE BENNETT,822,NT
LAMBELLS LAGOON,822,NT
LITCHFIELD PARK,822,NT
LIVINGSTONE,822,NT
LLOYD CREEK,822,NT
MANDORAH,822,NT
MANINGRIDA,822,NT
MAPURU,822,NT
MARANUNGA,822,NT
MARGARET RIVER,822,NT
MARRAKAI,822,NT
MCMINNS LAGOON,822,NT
MICKETT CREEK,822,NT
MIDDLE POINT,822,NT
MILIKAPITI,822,NT
MILINGIMBI,822,NT
MILYAKBURRA,822,NT
MINJILANG,822,NT
MOUNT BUNDEY,822,NT
MURRUMUJUK,822,NT
NAUIYU,822,NT
NEMARLUK,822,NT
NGANMARRIYANGA,822,NT
NUMBULWAR,822,NT
NUMBURINDI,822,NT
OENPELLI,822,NT
PEPPIMENARTI,822,NT
PIRLANGIMPI,822,NT
POINT STEPHENS,822,NT
POINT STUART,822,NT
PULARUMPI,822,NT
RAKULA,822,NT
RAMINGINING,822,NT
ROBIN FALLS,822,NT
RUM JUNGLE,822,NT
SANDPALMS ROADHOUSE,822,NT
SOUTHPORT,822,NT
STAPLETON,822,NT
THAMARRURR,822,NT
TIPPERARY,822,NT
TIVENDALE,822,NT
TIWI ISLANDS,822,NT
TORTILLA FLATS,822,NT
TUMBLING WATERS,822,NT
UMBAKUMBA,822,NT
VERNON ISLANDS,822,NT
WADEYE,822,NT
WAGAIT BEACH,822,NT
WAK WAK,822,NT
WARRUWI,822,NT
WEDDELL,822,NT
WEST ARNHEM,822,NT
WICKHAM,822,NT
WINNELLIE,822,NT
WISHART,822,NT
WOOLANING,822,NT
WURRUMIYANGA,822,NT
BERRIMAH,828,NT
KNUCKEY LAGOON,828,NT
HOLTZE,829,NT
PINELANDS,829,NT
ARCHER,830,NT
DRIVER,830,NT
DURACK,830,NT
FARRAR,830,NT
GRAY,830,NT
MARLOW LAGOON,830,NT
MOULDEN,830,NT
PALMERSTON,830,NT
SHOAL BAY,830,NT
WOODROFFE,830,NT
YARRAWONGA,830,NT
PALMERSTON,831,NT
BAKEWELL,832,NT
BELLAMACK,832,NT
GUNN,832,NT
JOHNSTON,832,NT
MITCHELL,832,NT
ROSEBERY,832,NT
ROSEBERY HEIGHTS,832,NT
ZUCCOLI,832,NT
VIRGINIA,834,NT
HOWARD SPRINGS,835,NT
MANTON,837,NT
NOONAMAH,837,NT
BERRY SPRINGS,838,NT
DUNDEE BEACH,840,NT
DUNDEE DOWNS,840,NT
DUNDEE FOREST,840,NT
DARWIN RIVER,841,NT
BATCHELOR,845,NT
ADELAIDE RIVER,846,NT
PINE CREEK,847,NT
COSSACK,850,NT
EMUNGALAN,850,NT
KATHERINE,850,NT
KATHERINE EAST,850,NT
KATHERINE SOUTH,850,NT
LANSDOWNE,850,NT
KATHERINE,851,NT
ARNOLD,852,NT
BAINES,852,NT
BARUNGA,852,NT
BESWICK,852,NT
BESWICK CREEK,852,NT
BINJARI,852,NT
BIRDUM,852,NT
BRADSHAW,852,NT
BUCHANAN,852,NT
BULMAN WEEMOL,852,NT
CRESWELL,852,NT
DAGURAGU,852,NT
DALY WATERS,852,NT
DELAMERE,852,NT
EDITH,852,NT
ELSEY,852,NT
FLORINA,852,NT
FLYING FOX,852,NT
GREGORY,852,NT
GULUNG MARDRULK,852,NT
GURINDJI,852,NT
HELEN SPRINGS STATION,852,NT
JILKMINGGAN,852,NT
KALKARINDJI,852,NT
KATHERINE,852,NT
LAJAMANU,852,NT
LARRIMAH,852,NT
LIMMEN,852,NT
MANBULLOO,852,NT
MARANBOY,852,NT
MATARANKA,852,NT
MCARTHUR,852,NT
MINIYERI,852,NT
NGUKURR,852,NT
NITMILUK,852,NT
PELLEW ISLANDS,852,NT
PIGEON HOLE,852,NT
ROBINSON RIVER,852,NT
STURT PLATEAU,852,NT
TANAMI EAST,852,NT
TIMBER CREEK,852,NT
TOP SPRINGS,852,NT
URALLA,852,NT
VENN,852,NT
VICTORIA RIVER,852,NT
VICTORIA RIVER DOWNS,852,NT
WARUMUNGU,852,NT
WAVE HILL,852,NT
WILTON,852,NT
YARRALIN,852,NT
TINDAL,853,NT
BORROLOOLA,854,NT
KING ASH BAY,854,NT
TENNANT CREEK,860,NT
TENNANT CREEK,861,NT
CALVERT,862,NT
ELLIOTT,862,NT
NEWCASTLE WATERS,862,NT
NICHOLSON,862,NT
PAMAYU,862,NT
RENNER SPRINGS,862,NT
TABLELANDS,862,NT
TENNANT CREEK,862,NT
WARREGO,862,NT
ALICE SPRINGS,870,NT
ARALUEN,870,NT
ARUMBERA,870,NT
BRAITLING,870,NT
CICCONE,870,NT
CONNELLAN,870,NT
DESERT SPRINGS,870,NT
EAST SIDE,870,NT
FLYNN,870,NT
GILLEN,870,NT
ILPARPA,870,NT
IRLPME,870,NT
LARAPINTA,870,NT
MOUNT JOHNS,870,NT
ROSS,870,NT
SADADEEN,870,NT
STUART,870,NT
THE GAP,870,NT
UNDOOLYA,870,NT
WHITE GUMS,870,NT
ALICE SPRINGS,871,NT
ALI CURUNG,872,WA
ALICE SPRINGS,872,WA
AMOONGUNA,872,WA
AMPILATWATJA,872,WA
ANATYE,872,WA
ANMATJERE,872,WA
AREYONGA,872,WA
ATITJERE,872,WA
BARROW CREEK,872,WA
BURT PLAIN,872,WA
CANTEEN CREEK,872,WA
CHILLA WELL,872,WA
COSTELLO,872,WA
DAVENPORT,872,WA
ENGAWALA,872,WA
ERLDUNDA,872,WA
ERNABELLA,872,WA
FINKE,872,WA
GHAN,872,WA
GIBSON DESERT NORTH,872,WA
GIBSON DESERT SOUTH,872,WA
HAASTS BLUFF,872,WA
HALE,872,WA
HART,872,WA
HART RANGE,872,WA
HERMANNSBURG,872,WA
HUGH,872,WA
IMANPA,872,WA
INDULKANA,872,WA
ININTI STORE,872,WA
KALTUKATJARA,872,WA
KINGS CREEK STATION,872,WA
KINTORE,872,WA
KIWIRRKURRA,872,WA
KULGERA,872,WA
KUNPARRKA,872,WA
LAKE MACKAY,872,WA
LARAMBA,872,WA
MACDONNELL RANGE,872,WA
MEREENIE,872,WA
MIMILI,872,WA
MOUNT LIEBIG,872,WA
MOUNT ZEIL,872,WA
MUTITJULU,872,WA
NAMATJIRA,872,WA
NAPPERBY STATION,872,WA
NGAANYATJARRA-GILES,872,WA
NYAPARI,872,WA
NYIRRIPI,872,WA
PAPUNYA,872,WA
PATJARR,872,WA
PETERMANN,872,WA
SANDOVER,872,WA
SANTA TERESA,872,WA
SIMPSON,872,WA
TANAMI,872,WA
TARA,872,WA
TELEGRAPH STATION,872,WA
TI TREE,872,WA
TITJIKALA,872,WA
TJIRRKARLI,872,WA
TJUKURLA,872,WA
WALLACE ROCKHOLE,872,WA
WANNAN,872,WA
WILLOWRA,872,WA
WILORA,872,WA
WINGELLINA,872,WA
WUTUNUGURRA,872,WA
YUELAMU,872,WA
YUENDUMU,872,WA
YULARA,872,WA
ALI CURUNG,872,NT
ALICE SPRINGS,872,NT
AMOONGUNA,872,NT
AMPILATWATJA,872,NT
ANATYE,872,NT
ANMATJERE,872,NT
AREYONGA,872,NT
ATITJERE,872,NT
BARROW CREEK,872,NT
BURT PLAIN,872,NT
CANTEEN CREEK,872,NT
CHILLA WELL,872,NT
COSTELLO,872,NT
DAVENPORT,872,NT
ENGAWALA,872,NT
ERLDUNDA,872,NT
ERNABELLA,872,NT
FINKE,872,NT
GHAN,872,NT
GIBSON DESERT NORTH,872,NT
GIBSON DESERT SOUTH,872,NT
HAASTS BLUFF,872,NT
HALE,872,NT
HART,872,NT
HART RANGE,872,NT
HERMANNSBURG,872,NT
HUGH,872,NT
IMANPA,872,NT
INDULKANA,872,NT
ININTI STORE,872,NT
KALTUKATJARA,872,NT
KINGS CREEK STATION,872,NT
KINTORE,872,NT
KIWIRRKURRA,872,NT
KULGERA,872,NT
KUNPARRKA,872,NT
LAKE MACKAY,872,NT
LARAMBA,872,NT
MACDONNELL RANGE,872,NT
MEREENIE,872,NT
MIMILI,872,NT
MOUNT LIEBIG,872,NT
MOUNT ZEIL,872,NT
MUTITJULU,872,NT
NAMATJIRA,872,NT
NAPPERBY STATION,872,NT
NGAANYATJARRA-GILES,872,NT
NYAPARI,872,NT
NYIRRIPI,872,NT
PAPUNYA,872,NT
PATJARR,872,NT
PETERMANN,872,NT
SANDOVER,872,NT
SANTA TERESA,872,NT
SIMPSON,872,NT
TANAMI,872,NT
TARA,872,NT
TELEGRAPH STATION,872,NT
TI TREE,872,NT
TITJIKALA,872,NT
TJIRRKARLI,872,NT
TJUKURLA,872,NT
WALLACE ROCKHOLE,872,NT
WANNAN,872,NT
WILLOWRA,872,NT
WILORA,872,NT
WINGELLINA,872,NT
WUTUNUGURRA,872,NT
YUELAMU,872,NT
YUENDUMU,872,NT
YULARA,872,NT
HEAVITREE GAP CPA,873,NT
NHULUNBUY,881,NT
ALYANGULA,885,NT
WINNELLIE,906,NT
WINNELLIE,907,NT
CHARLES DARWIN UNIVERSITY,909,NT
SYDNEY,1001,NSW
SYDNEY,1002,NSW
SYDNEY,1003,NSW
SYDNEY,1004,NSW
SYDNEY,1005,NSW
SYDNEY,1006,NSW
SYDNEY,1007,NSW
SYDNEY,1008,NSW
SYDNEY,1009,NSW
SYDNEY,1010,NSW
SYDNEY,1020,NSW
SYDNEY,1021,NSW
SYDNEY,1023,NSW
SYDNEY,1025,NSW
SYDNEY,1027,NSW
SYDNEY,1028,NSW
SYDNEY,1029,NSW
SYDNEY,1030,NSW
SYDNEY,1031,NSW
SYDNEY,1032,NSW
SYDNEY,1033,NSW
SYDNEY,1034,NSW
SYDNEY,1035,NSW
SYDNEY,1036,NSW
SYDNEY,1037,NSW
SYDNEY,1038,NSW
SYDNEY,1039,NSW
SYDNEY,1040,NSW
SYDNEY,1041,NSW
SYDNEY,1042,NSW
SYDNEY,1044,NSW
SYDNEY,1045,NSW
SYDNEY,1100,NSW
SYDNEY,1101,NSW
SYDNEY,1105,NSW
SYDNEY,1106,NSW
SYDNEY,1107,NSW
SYDNEY,1108,NSW
SYDNEY,1109,NSW
SYDNEY,1110,NSW
SYDNEY,1112,NSW
SYDNEY,1113,NSW
SYDNEY,1114,NSW
SYDNEY,1115,NSW
SYDNEY,1116,NSW
SYDNEY,1117,NSW
SYDNEY,1118,NSW
SYDNEY,1119,NSW
SYDNEY,1121,NSW
SYDNEY,1122,NSW
SYDNEY,1124,NSW
SYDNEY,1125,NSW
SYDNEY,1126,NSW
SYDNEY,1127,NSW
SYDNEY,1128,NSW
SYDNEY,1129,NSW
SYDNEY,1130,NSW
SYDNEY,1131,NSW
SYDNEY,1132,NSW
SYDNEY,1133,NSW
SYDNEY,1134,NSW
SYDNEY,1135,NSW
SYDNEY,1136,NSW
SYDNEY,1137,NSW
SYDNEY,1138,NSW
SYDNEY,1139,NSW
SYDNEY,1141,NSW
SYDNEY,1142,NSW
SYDNEY,1144,NSW
SYDNEY,1145,NSW
SYDNEY,1147,NSW
SYDNEY,1148,NSW
SYDNEY,1149,NSW
SYDNEY,1150,NSW
SYDNEY,1151,NSW
SYDNEY,1152,NSW
SYDNEY,1153,NSW
SYDNEY,1154,NSW
SYDNEY,1155,NSW
SYDNEY,1156,NSW
SYDNEY,1157,NSW
SYDNEY,1158,NSW
SYDNEY,1159,NSW
SYDNEY,1161,NSW
SYDNEY,1162,NSW
SYDNEY,1164,NSW
SYDNEY,1165,NSW
SYDNEY,1167,NSW
SYDNEY,1168,NSW
SYDNEY,1169,NSW
SYDNEY,1170,NSW
SYDNEY,1171,NSW
SYDNEY,1172,NSW
SYDNEY,1173,NSW
SYDNEY,1174,NSW
SYDNEY,1175,NSW
SYDNEY,1176,NSW
SYDNEY,1177,NSW
SYDNEY,1178,NSW
SYDNEY,1179,NSW
SYDNEY,1180,NSW
SYDNEY,1181,NSW
SYDNEY,1182,NSW
SYDNEY,1184,NSW
SYDNEY,1185,NSW
SYDNEY,1187,NSW
SYDNEY,1188,NSW
SYDNEY,1189,NSW
SYDNEY,1190,NSW
SYDNEY,1191,NSW
SYDNEY,1192,NSW
SYDNEY,1193,NSW
SYDNEY,1194,NSW
SYDNEY,1195,NSW
SYDNEY,1196,NSW
SYDNEY,1197,NSW
SYDNEY,1198,NSW
SYDNEY,1199,NSW
SYDNEY,1200,NSW
SYDNEY,1201,NSW
SYDNEY,1202,NSW
SYDNEY,1204,NSW
SYDNEY,1205,NSW
SYDNEY,1207,NSW
HAYMARKET,1208,NSW
AUSTRALIA SQUARE,1210,NSW
AUSTRALIA SQUARE,1211,NSW
AUSTRALIA SQUARE,1212,NSW
AUSTRALIA SQUARE,1213,NSW
AUSTRALIA SQUARE,1214,NSW
AUSTRALIA SQUARE,1215,NSW
GROSVENOR PLACE,1216,NSW
GROSVENOR PLACE,1217,NSW
GROSVENOR PLACE,1218,NSW
GROSVENOR PLACE,1219,NSW
GROSVENOR PLACE,1220,NSW
ROYAL EXCHANGE,1221,NSW
ROYAL EXCHANGE,1222,NSW
ROYAL EXCHANGE,1224,NSW
ROYAL EXCHANGE,1225,NSW
QUEEN VICTORIA BUILDING,1227,NSW
QUEEN VICTORIA BUILDING,1228,NSW
QUEEN VICTORIA BUILDING,1230,NSW
SYDNEY SOUTH,1231,NSW
SYDNEY SOUTH,1232,NSW
SYDNEY SOUTH,1233,NSW
SYDNEY SOUTH,1234,NSW
SYDNEY SOUTH,1235,NSW
HAYMARKET,1236,NSW
HAYMARKET,1237,NSW
HAYMARKET,1238,NSW
HAYMARKET,1239,NSW
HAYMARKET,1240,NSW
SYDNEY,1291,NSW
SYDNEY,1292,NSW
SYDNEY,1294,NSW
SYDNEY,1295,NSW
SYDNEY,1297,NSW
SYDNEY,1298,NSW
DARLINGHURST,1300,NSW
EASTERN SUBURBS MC,1311,NSW
EASTERN SUBURBS MC,1312,NSW
EASTERN SUBURBS MC,1313,NSW
EASTERN SUBURBS MC,1314,NSW
EASTERN SUBURBS MC,1315,NSW
EASTERN SUBURBS MC,1316,NSW
EASTERN SUBURBS MC,1317,NSW
EASTERN SUBURBS MC,1318,NSW
EASTERN SUBURBS MC,1319,NSW
EASTERN SUBURBS MC,1320,NSW
EASTERN SUBURBS MC,1321,NSW
EASTERN SUBURBS MC,1322,NSW
